Root.MES.1	Root.MES.2	Root.MES.3	Root.ATP.1	Root.ATP.2	Root.ATP.3	ATP.raw.pvals.present	ATP.fdr.pvals.present
245067_at	11.3984580957734	11.5422653018654	11.461672399213	11.9841434393318	11.6414125849546	11.9211932348061	0.0534240901585963	0.317022716898999
245068_at	0.560388025934833	1.74442507113239	2.2697183076129	1.57956698516657	1.28713316070701	1.22190377104158	0.781552003054017	0.8948499743832
245069_at	4.46406686639212	0.279280794548249	3.88341726806756	0.375747208910301	2.94850194866204	0.904436428523572	0.40218109592507	0.650113443274811
245070_at	2.88491512179599	2.47322880715873	1.85914122167283	1.45313012526569	2.48208830959382	1.79947331764858	0.309054942897489	0.576272643463722
245071_at	4.58799214137486	3.56571208224004	4.57233425374698	4.14483819736881	0.828238550918666	3.52953703027919	0.299567104555053	0.568888978488934
245072_s_at	2.9212674849989	2.5279864260544	4.17640318141261	3.98508552877902	3.92272996360419	3.94638705185296	0.273571456186476	0.545898426700508
245073_at	2.06035329107254	3.94896851882728	1.31878678301027	3.71235597642009	1.34479288045743	1.76383294815736	0.882172595484117	0.946396529823412
245074_at	6.13973256070203	5.72334779813367	5.89901958190138	5.54666151703481	5.2057941153277	6.03195598595651	0.312734025512038	0.579767808999479
245075_at	2.03179155759099	3.6326274501431	4.58788172860377	4.934221104836	3.19239622317522	4.98342478735473	0.375659495032638	0.630382776553702
245076_at	10.408671097372	10.0741083236154	9.81776307066277	10.3549178291392	10.5050776629506	10.1691604155609	0.300672944653973	0.569772357527384
245077_at	3.91968849562751	4.33268089357506	4.88574252900291	1.90517356858546	4.08204091451059	2.89551140104326	0.139367734229393	0.413688744893857
245078_at	7.8363143344288	7.58138377649142	8.18645242808711	7.74637212826746	8.28165510030997	8.13084071587421	0.479185306628542	0.705903955321431
245079_at	6.79193371357252	6.14864284054931	6.59172419902846	6.66097269100115	6.57387504114498	6.98949477912415	0.377331155219685	0.631122664506749
245080_at	6.57393127016655	6.25020514339783	6.10803279792919	5.08552925399409	4.63833655759959	4.61977001902231	0.00180482973263377	0.25449497298434
245081_at	5.57297383296109	4.82615392144831	4.91349601567694	4.96039573047753	5.02095424324323	3.14111049673514	0.361465961839083	0.618379642805264
245082_at	2.66903664017738	5.17936246952727	1.93462545234121	3.23698278031133	2.28459444943984	2.73309183174074	0.661032828175693	0.825521971567893
245083_at	9.89015409687943	9.91282315704554	10.0571138310296	10.0272129335001	9.31757095460746	9.3249732468632	0.230318865768067	0.50690595601791
245084_at	7.97301798331436	7.37942987739669	7.54791840343689	7.67485562107089	7.37654635105766	7.28454553085304	0.432389944196117	0.674242181235536
245085_at	10.909742551849	10.800037274367	10.9696078455055	9.98643670083013	10.6674913331713	10.1893612886825	0.0861286606078121	0.355370339377336
245086_at	4.2417101429105	3.60160377651248	1.62788619804098	3.69016512774905	3.9256403702366	3.98627198343449	0.462241733220462	0.694555161297267
245087_at	6.69641160757008	6.95364031179575	6.98684629759925	6.63091634709182	6.30202986008354	6.10764118623055	0.0521070747633631	0.31514828351301
245088_at	4.94775024318104	3.91706690889144	4.04161681608034	3.06077173381313	3.9286430473312	4.34436439288653	0.353546109422863	0.611679820686856
245089_at	8.36613141891773	8.77726095926695	8.21893479449039	7.79993975266024	7.94705819876321	7.59962227279051	0.0357337879211136	0.298785814692302
245090_at	7.50324730154359	7.79202275178112	8.05236911763633	6.63030983547116	7.33405983717112	7.45767083646115	0.115131059336564	0.386240345645565
245091_at	2.1133173778334	2.69889833750776	2.6399370400288	2.21271662405145	1.64573856692927	4.38826968611167	0.783990838408953	0.896292653573989
245092_at	8.0598119704673	8.31971751974471	8.16516667799472	7.9879097306381	7.66224708409241	7.86757016470152	0.0506722941738539	0.313573871735249
245093_at	7.39045328974387	7.39855048428765	7.31762527815663	7.0193657077795	6.71018207775068	7.22426631825893	0.119822351267555	0.391650246501698
245094_at	9.31623677358592	9.42058929260576	9.30454476721157	9.3975179373025	9.00301410189681	9.06874543839485	0.254664172390812	0.529147192781938
245095_at	2.96533958540552	4.8174388430566	3.70519903281367	5.5310105934272	4.78098737893136	4.61824502645302	0.154742539874141	0.42992415767712
