ID	logFC	P.Value
245641_at	-0.008241846	0.974654203
245642_at	0.311518026	0.156659975
245643_at	0.302147549	0.782475912
245644_at	-0.571968753	0.006702302
245645_at	-0.424747068	0.235930827
245646_x_at	0.573681291	0.603261037
245647_at	-0.629117176	0.034180734
245648_at	1.290838329	0.136978232
245649_at	-0.380446589	0.009674521
245650_at	-0.263377196	0.189628944
245651_s_at	-0.032346714	0.815593547
245652_at	-2.113821316	0.208120248
245653_at	1.136810024	0.408672174
245654_at	0.922496456	0.381703661
245655_at	-2.164421741	0.386696186
245656_at	0.001344528	0.998320309
245657_at	-0.545833552	0.010039685
245658_at	-0.40670474	0.620013215
245659_at	-0.223645713	0.545596614
245660_at	-0.413094818	0.04435969
245661_at	-0.079335518	0.771581377
245662_at	0.445443277	0.264306833
245663_at	-0.09163016	0.951664103
245664_at	1.30943934	0.243658391
245665_at	0.274114033	0.120419361
245666_at	-0.151696586	0.167078689
245667_at	0.006755449	0.950155206
245668_at	0.148047884	0.529059679
245669_at	-2.729570084	0.093984296
245670_at	-0.048125982	0.887864994
245671_at	-0.46217398	0.036174364
245672_at	1.84720781	0.136791376
245673_at	0.419513554	0.807074116
245674_at	-0.646036791	0.04787021
245675_at	-0.364721516	0.202578884
245676_at	-0.892740749	0.035726744
245677_at	-0.827013951	0.059033978
245678_at	-0.107947844	0.246197338
245679_at	0.013660461	0.907690992
245680_at	-0.282872882	0.64498992
245681_at	0.016036234	0.892248489
245682_at	-0.151466923	0.539342633
245683_at	-0.39462823	0.128288417
245684_at	0.136971311	0.038732939
245685_at	-0.225363959	0.367125095
245686_at	-0.220556563	0.044710783
245687_at	-0.228297506	0.153262049
245688_at	-0.776774606	0.040991286
