GSM1272576_jm01-colq-m1_ATH1-121501_.CEL	GSM1272577_jm02-colq-m2_ATH1-121501_.CEL	GSM1272578_jm03-colq-m4_ATH1-121501_.CEL	GSM1272579_jm04-colq-a1_ATH1-121501_.CEL	GSM1272580_jm05-colq-a2_ATH1-121501_.CEL	GSM1272581_jm06-colq-a3_ATH1-121501_.CEL	GSM1272582_jm07-16-2-m2_ATH1-121501_.CEL	GSM1272583_jm08-16-2-m3_ATH1-121501_.CEL	GSM1272584_jm09-16-2-m4_ATH1-121501_.CEL	GSM1272585_jm10-16-2-a2_ATH1-121501_.CEL	GSM1272586_jm11-16-2-a3_ATH1-121501_.CEL	GSM1272587_jm12-16-2-a4_ATH1-121501_.CEL
245275_at	A	A	A	A	A	A	A	A	A	A	A	A
245276_at	P	P	P	P	P	P	P	P	P	P	P	P
245277_at	P	P	P	P	P	P	P	P	P	P	P	P
245278_at	P	P	P	P	P	P	P	P	P	P	P	P
245279_at	P	P	P	P	P	P	P	P	P	P	P	P
245280_at	P	P	P	P	P	P	P	P	P	P	P	P
245281_at	P	P	P	P	P	P	P	P	P	P	P	P
245282_at	P	P	P	P	P	P	P	P	P	P	P	P
245283_at	P	P	P	P	P	P	P	P	P	P	P	P
245284_at	P	P	P	P	P	P	P	P	P	P	P	P
245285_s_at	P	P	P	P	P	P	P	P	P	P	P	P
245286_at	P	P	P	P	P	P	P	P	P	P	P	P
245287_at	P	P	P	P	P	P	P	P	P	P	P	P
245288_at	P	P	P	P	P	P	P	P	P	P	P	P
245289_at	P	P	P	P	P	P	P	P	P	P	P	P
245290_at	P	P	P	P	P	P	P	P	P	P	P	P
245291_at	P	P	P	P	P	P	P	P	P	P	P	P
245292_at	P	P	P	P	P	P	P	P	P	P	P	P
245293_at	P	P	P	P	P	P	P	P	P	P	P	P
245294_at	P	P	P	P	P	P	P	P	P	P	P	P
245295_at	P	P	P	P	P	P	P	P	P	P	P	P
245296_at	P	P	P	P	P	P	P	P	P	P	P	P
245297_at	P	P	P	P	P	P	P	P	P	P	P	P
245298_at	P	P	P	P	P	P	P	P	P	P	P	P
245299_at	P	P	P	P	P	P	P	P	P	P	P	P
245300_at	P	P	P	P	P	P	P	P	P	P	P	P
245301_at	P	P	P	P	P	P	P	P	P	P	P	P
245302_at	A	A	P	P	M	P	P	A	A	A	A	P
245303_at	P	P	P	P	P	P	P	P	P	P	P	P
245304_at	P	P	P	P	P	P	P	P	P	P	P	P
